Level	Damage	DamageScore
1	1631134	489
2	2132330	640
3	2162771	651
4	1907537	575
5	1708052	516
6	1896473	574
7	1684558	511
8	1848659	561
9	2067640	629
10	1676312	511
11	2013951	615
12	2034024	623
13	1696433	520
14	2142979	658
15	2038094	627
16	1697045	523
17	1905261	589
18	1932415	598
19	1659702	515
20	1568768	487
21	1693871	527
22	1987020	620
23	1810793	566
24	1979782	620
25	1771164	NA
26	1597802	502
27	2753815	867
28	1958253	618
29	2739477	866
30	1480748	469
31	2656077	843
32	2336242	743
33	2186249	696
34	1856239	592
35	2458713	786
36	1931662	619
37	1562838	501
38	1941311	624
39	1838915	592
40	2151354	695
41	3229919	1045
42	2821752	915
43	2530280	822
44	2146874	698
45	1667236	543
46	1724683	563
47	1892387	619
48	2660775	872
49	3343443	1098
50	2041845	672
50	2255351	742
50	2630910	866
50	2145181	706
50	2760668	908
