Level	Damage	DamageScore
1	1374299	285
2	1648667	345
3	1327376	280
4	1233502	262
5	1290741	276
6	1819249	392
7	1811360	393
8	1268690	277
9	1619167	357
10	1637246	363
11	1654581	370
12	1838374	414
13	1600111	363
14	1635458	374
15	1664487	383
16	1748543	406
17	1297160	303
18	2121185	500
19	1853770	440
20	1772002	424
21	1339101	323
22	1891157	459
23	1602918	394
24	1393944	343
25	1397009	347
26	1314472	329
27	1629387	411
28	1302402	331
29	1331160	340
30	1349517	348
31	1333720	346
32	1849847	484
33	1566661	413
34	1386974	368
35	1283006	343
36	1258930	339
36	1224880	330
37	1598220	434
38	1303285	357
39	1357498	375
40	1888215	525
41	1345232	377
42	1142856	322
43	1360126	387
44	1421129	407
45	1976207	571
46	1514719	441
47	1272617	373
48	1631717	482
49	1383306	412
50	1700413	510
50	1589074	477
51	2265744	686
52	2037008	621
53	1709819	525
54	1803144	558
55	1766568	551
56	1302349	409
57	1733859	549
57	1920503	609
58	1774866	567
59	1620185	521
59	2254738	726
60	1419748	460
60	1591595	516
61	1455260	475
62	1669071	545
62	1724045	568
63	1910333	629
63	1654188	549
64	1559158	517
64	2451522	820
65	1834588	618
66	1774032	603
67	1664713	570
68	2229897	764
68	1809110	624
69	1318061	455
69	2114352	735
70	1880345	654
70	1729555	606
71	1965691	689
71	1816826	642
72	2018888	713
72	8618252	3069
73	6303068	2262
74	9965400	3605
75	7269712	2651
76	7749852	2848
77	7047300	2610
78	7284720	2719
79	6663932	2507
80	7564176	2868
80	6237084	2365
81	6923304	2647
82	9419780	3629
83	7969440	3094
84	9656728	3779
85	8492264	3349
86	9292044	3694
87	6453720	2586
87	1649914	661
88	5934524	2397
89	5653128	2301
90	5055460	2074
91	6737332	2786
92	9221804	3844
93	8392732	3526
93	1943576	816
94	7920492	3354
94	1607621	680
95	10922752	4663
96	6842736	2944
96	184533	776
97	8090640	3509
98	7171284	3135
98	5166056	2258
99	7322124	3227
99	7603104	3351
100	6118232	2718
100	7024556	3121
101	8646424	3872
102	7122152	3215
102	8594180	3879
103	9968564	4536
103	7480368	3404
104	8513660	3905
104	7355112	3374
105	7417892	3430
105	9734916	4501
105	1265593	585
106	7957100	3709
106	7182512	3348
107	7535880	3541
107	6108916	2870
108	5306604	2513
109	5891384	2813
109	7280360	3476
110	8663128	4170
110	1784304	858
110	1355541	652
111	5648892	2741
112	5853880	2863
112	6903964	3377
113	7144240	3523
113	6582572	3246
114	6781312	3371
114	5530660	2749
115	7144300	3079
115	6560392	3287
115	1620176	811
116	7382156	3729
116	5899516	2980
117	6605732	3364
117	1702666	867
117	1437174	732
118	5432432	2789
118	5969056	3064
119	7057480	3653
119	5183836	2683
119	1561352	808
120	7409712	3866
120	8001124	4175
121	7353004	3868
121	7742096	4073
122	6567136	3483
122	6718680	3563
123	8503264	4547
123	8610208	4604
124	8930852	4814
125	5321920	2892
125	7470132	4060
126	4815912	2638
126	6739528	3692
127	8051532	4447
127	5542164	3061
128	11857876	6604
128	5878188	3273
129	6312912	3544
129	5759708	3234
129	1797763	1009
130	8302072	4700
130	7325152	4147
131	7020272	4007
131	8668152	4947
132	6970964	4011
132	6001860	3454
133	7626288	4425
133	4904296	2845
134	7386500	4321
134	6626760	3876
135	7045980	4156
135	7970332	4701
136	7866212	4678
136	6626104	3940
137	6297356	3776
137	7127148	4273
138	8896260	5378
138	1539664	930
139	6186244	3771
139	7186044	4380
140	7685856	4723
140	6201896	3811
141	8391108	5200
141	8596928	5327
142	6536600	4084
142	7411392	4631
143	6107972	3848
143	6698528	4220
144	7050760	4479
144	4502220	2860
145	7863504	5037
145	5042940	3230
146	6457532	4170
146	5081696	3282
147	4551712	2964
148	6003112	3942
148	6985720	4587
149	7483116	4955
150	7629960	5094
150	1411792	942
151	6298448	4205
151	5957796	3977
152	6078756	4058
152	6890628	4600
153	6452952	4308
153	9474692	6326
154	6867512	4585
154	8706112	5812
155	10289216	6869
156	6936244	4631
156	6235204	4163
156	1943171	1297
157	7424824	4957
157	7108212	4746
158	7325012	4890
158	7307176	4878
159	8123148	5423
