Level	Hp
102	11274052
101	NA
100	11274052
99	11274052
98	10879264
97	NA
96	10133054
95	9780512
94	9440969
93	9113921
92	8798883
91	8495391
90	8202999
89	7921279
88	7649822
87	7388233
86	7136134
85	6893162
84	6658969
83	6433221
82	6215597
81	6005788
80	5803499
79	5608445
78	5420354
77	5238963
76	5064021
75	4895286
74	4732525
73	4575515
72	4424042
71	4277900
70	4136890
69	4000823
68	3869515
67	3742791
66	3620482
65	3502425
64	3388464
63	3278449
62	3172236
61	3069686
60	2970665
59	2875046
58	2782704
57	2693521
56	2607383
55	2524180
54	2443806
53	2366159
52	2291141
51	2218659
50	2148621
49	2080941
48	2015534
47	1952320
46	1891221
45	1832162
44	1775071
43	1719878
42	1666517
41	1614923
40	1565035
39	1516792
38	1470138
37	1425016
36	1381374
35	1339160
34	1298324
33	1258619
32	1220599
31	1183620
30	1147838
29	NA
28	1079705
27	1047276
26	1015889
25	985509
24	NA
23	927632
22	900071
21	873386
20	847548
19	822529
18	798301
17	774838
16	752113
15	730103
14	708783
13	688130
12	NA
11	648739
10	629958
9	611761
8	594127
7	577039
6	560478
5	544427
4	528870
3	513790
2	499172
1	485000
