Level	ReportScore
1	142
2	143
3	145
4	147
5	149
6	150
7	152
8	154
9	156
10	159
11	161
12	163
13	165
14	168
15	170
16	173
17	176
18	178
19	181
20	184
21	187
22	190
23	194
24	197
25	200
26	204
27	208
28	212
29	215
30	220
31	224
32	228
33	233
34	237
35	242
36	247
37	252
38	257
39	263
40	269
41	274
42	281
43	287
44	293
45	300
46	307
47	314
48	322
49	329
50	337
51	346
52	354
53	363
54	372
55	381
56	391
57	401
58	412
59	423
60	434
61	446
62	458
63	470
64	483
65	497
66	510
67	525
68	540
69	555
70	571
71	588
72	605
73	623
74	641
75	660
76	680
77	701
78	722
79	744
80	767
81	791
82	816
83	841
84	868
85	895
86	924
87	954
88	984
89	1016
90	1050
91	1084
92	1120
93	1157
94	1195
95	1235
96	1277
97	1320
98	1364
99	1411
